filepath,label,original_mode,effectively_grayscale_rgb
Training/notumor/Tr-no_1250.jpg,notumor,RGB,True
Training/meningioma/Tr-me_1141.jpg,meningioma,L,True
Training/notumor/Tr-no_0219.jpg,notumor,RGB,True
Training/pituitary/Tr-pi_0966.jpg,pituitary,L,True
Testing/pituitary/Te-pi_0172.jpg,pituitary,L,True
Training/pituitary/Tr-pi_1197.jpg,pituitary,L,True
Training/meningioma/Tr-me_0852.jpg,meningioma,L,True
Training/meningioma/Tr-me_1155.jpg,meningioma,L,True
Training/meningioma/Tr-me_0245.jpg,meningioma,RGB,True
Training/meningioma/Tr-me_0287.jpg,meningioma,RGB,True
Training/notumor/Tr-no_0020.jpg,notumor,RGB,True
Testing/glioma/Te-gl_0129.jpg,glioma,L,True
Training/glioma/Tr-gl_1197.jpg,glioma,L,True
Training/pituitary/Tr-pi_0914.jpg,pituitary,L,True
Training/glioma/Tr-gl_1074.jpg,glioma,L,True
Training/notumor/Tr-no_0762.jpg,notumor,RGB,False
Training/pituitary/Tr-pi_1407.jpg,pituitary,L,True
Training/notumor/Tr-no_0832.jpg,notumor,RGB,True
Training/notumor/Tr-no_1322.jpg,notumor,RGB,True
Testing/notumor/Te-no_0191.jpg,notumor,RGB,False
Training/notumor/Tr-no_1273.jpg,notumor,RGB,True
Training/glioma/Tr-gl_0239.jpg,glioma,L,True
Testing/pituitary/Te-pi_0123.jpg,pituitary,L,True
Training/glioma/Tr-gl_1215.jpg,glioma,L,True
Training/meningioma/Tr-me_1081.jpg,meningioma,L,True
Testing/pituitary/Te-pi_0287.jpg,pituitary,L,True
Training/notumor/Tr-no_1105.jpg,notumor,RGB,False
Testing/glioma/Te-glTr_0004.jpg,glioma,RGB,True
Testing/pituitary/Te-pi_0178.jpg,pituitary,L,True
Testing/glioma/Te-gl_0295.jpg,glioma,L,True
Training/notumor/Tr-no_0546.jpg,notumor,RGB,True
Training/notumor/Tr-no_0062.jpg,notumor,RGB,True
Testing/pituitary/Te-pi_0022.jpg,pituitary,RGB,True
Training/pituitary/Tr-pi_1423.jpg,pituitary,L,True
Testing/pituitary/Te-piTr_0002.jpg,pituitary,RGB,True
Training/glioma/Tr-gl_0177.jpg,glioma,L,True
Training/meningioma/Tr-me_0482.jpg,meningioma,RGB,True
Training/notumor/Tr-no_1469.jpg,notumor,RGB,True
Training/meningioma/Tr-me_0117.jpg,meningioma,RGB,True
Training/meningioma/Tr-me_0051.jpg,meningioma,RGB,True
Training/notumor/Tr-no_1186.jpg,notumor,RGB,True
Training/meningioma/Tr-me_1196.jpg,meningioma,L,True
Training/notumor/Tr-no_0952.jpg,notumor,RGB,True
Training/pituitary/Tr-pi_0365.jpg,pituitary,RGB,True
Training/meningioma/Tr-me_1136.jpg,meningioma,L,True
Training/pituitary/Tr-pi_0734.jpg,pituitary,RGB,True
Training/pituitary/Tr-pi_0118.jpg,pituitary,RGB,True
Training/glioma/Tr-gl_0245.jpg,glioma,L,True
Training/glioma/Tr-gl_0865.jpg,glioma,L,True
Testing/glioma/Te-gl_0023.jpg,glioma,RGB,True
Training/glioma/Tr-gl_0469.jpg,glioma,L,True
Training/glioma/Tr-gl_0101.jpg,glioma,RGB,True
Training/pituitary/Tr-pi_1319.jpg,pituitary,L,True
Training/notumor/Tr-no_1467.jpg,notumor,RGB,True
Training/meningioma/Tr-me_1227.jpg,meningioma,L,True
Training/meningioma/Tr-me_0591.jpg,meningioma,RGB,True
Training/pituitary/Tr-pi_0346.jpg,pituitary,RGB,True
Training/glioma/Tr-gl_0217.jpg,glioma,L,True
Training/meningioma/Tr-me_0954.jpg,meningioma,L,True
Training/notumor/Tr-no_1386.jpg,notumor,RGB,True
Training/meningioma/Tr-me_0423.jpg,meningioma,RGB,True
Training/glioma/Tr-gl_0800.jpg,glioma,L,True
Training/meningioma/Tr-me_0828.jpg,meningioma,L,True
Training/glioma/Tr-gl_0037.jpg,glioma,RGB,True
Training/notumor/Tr-no_0807.jpg,notumor,RGB,False
Training/glioma/Tr-gl_0842.jpg,glioma,L,True
Training/notumor/Tr-no_0403.jpg,notumor,RGB,True
Training/meningioma/Tr-me_0336.jpg,meningioma,RGB,True
Training/notumor/Tr-no_0744.jpg,notumor,RGB,True
Training/pituitary/Tr-pi_0584.jpg,pituitary,RGB,True
Training/meningioma/Tr-me_0703.jpg,meningioma,RGB,True
Training/notumor/Tr-no_0384.jpg,notumor,RGB,True
Training/glioma/Tr-gl_1317.jpg,glioma,L,True
Training/meningioma/Tr-me_0876.jpg,meningioma,L,True
Training/pituitary/Tr-pi_0720.jpg,pituitary,RGB,True
Training/meningioma/Tr-me_1150.jpg,meningioma,L,True
Testing/meningioma/Te-me_0159.jpg,meningioma,L,True
Training/glioma/Tr-gl_0233.jpg,glioma,L,True
Testing/glioma/Te-gl_0289.jpg,glioma,L,True
Training/pituitary/Tr-pi_0362.jpg,pituitary,RGB,True
Training/meningioma/Tr-me_0834.jpg,meningioma,L,True
Testing/glioma/Te-gl_0202.jpg,glioma,L,True
Training/meningioma/Tr-me_1071.jpg,meningioma,L,True
Training/notumor/Tr-no_0638.jpg,notumor,RGB,True
Training/notumor/Tr-no_0027.jpg,notumor,RGB,True
Training/pituitary/Tr-pi_0138.jpg,pituitary,RGB,True
Training/meningioma/Tr-me_0843.jpg,meningioma,L,True
Training/pituitary/Tr-pi_1209.jpg,pituitary,L,True
Testing/notumor/Te-no_0231.jpg,notumor,RGB,True
Training/notumor/Tr-no_0554.jpg,notumor,RGB,True
Testing/meningioma/Te-me_0196.jpg,meningioma,L,True
Training/meningioma/Tr-me_0724.jpg,meningioma,RGB,True
Training/glioma/Tr-gl_0050.jpg,glioma,RGB,True
Training/meningioma/Tr-me_0863.jpg,meningioma,L,True
Training/notumor/Tr-no_0617.jpg,notumor,RGB,True
Training/pituitary/Tr-pi_0644.jpg,pituitary,RGB,True
Training/glioma/Tr-gl_1047.jpg,glioma,L,True
Testing/notumor/Te-no_0216.jpg,notumor,RGB,True
Training/glioma/Tr-gl_1242.jpg,glioma,L,True
Training/glioma/Tr-gl_0734.jpg,glioma,L,True
Testing/meningioma/Te-me_0251.jpg,meningioma,L,True
Training/glioma/Tr-gl_0833.jpg,glioma,L,True
Training/pituitary/Tr-pi_0783.jpg,pituitary,L,True
Training/notumor/Tr-no_0239.jpg,notumor,RGB,True
Training/glioma/Tr-gl_1221.jpg,glioma,L,True
Training/glioma/Tr-gl_0132.jpg,glioma,L,True
Training/glioma/Tr-gl_0429.jpg,glioma,L,True
Training/pituitary/Tr-pi_0592.jpg,pituitary,RGB,True
Training/pituitary/Tr-pi_0991.jpg,pituitary,L,True
Training/notumor/Tr-no_0358.jpg,notumor,RGB,True
Testing/notumor/Te-no_0323.jpg,notumor,RGB,True
Testing/pituitary/Te-pi_0090.jpg,pituitary,L,True
Training/glioma/Tr-gl_1084.jpg,glioma,L,True
Training/notumor/Tr-no_0340.jpg,notumor,RGB,True
Training/meningioma/Tr-me_0861.jpg,meningioma,L,True
Training/notumor/Tr-no_0752.jpg,notumor,RGB,True
Training/meningioma/Tr-me_0756.jpg,meningioma,RGB,True
Training/pituitary/Tr-pi_0349.jpg,pituitary,RGB,True
Testing/notumor/Te-no_0341.jpg,notumor,RGB,True
Training/notumor/Tr-no_1072.jpg,notumor,RGB,True
Training/notumor/Tr-no_0417.jpg,notumor,RGB,True
Testing/glioma/Te-gl_0240.jpg,glioma,L,True
Training/glioma/Tr-gl_0319.jpg,glioma,L,True
Training/notumor/Tr-no_0230.jpg,notumor,RGB,True
Training/pituitary/Tr-pi_0883.jpg,pituitary,L,True
Training/glioma/Tr-gl_0927.jpg,glioma,L,True
Training/pituitary/Tr-pi_1017.jpg,pituitary,L,True
Training/pituitary/Tr-pi_0582.jpg,pituitary,RGB,True
Training/glioma/Tr-gl_0756.jpg,glioma,L,True
Testing/meningioma/Te-me_0222.jpg,meningioma,L,True
Training/notumor/Tr-no_1592.jpg,notumor,RGB,True
Training/notumor/Tr-no_0356.jpg,notumor,RGB,True
Testing/notumor/Te-no_0226.jpg,notumor,RGB,True
Training/pituitary/Tr-pi_1449.jpg,pituitary,L,True
Training/glioma/Tr-gl_0393.jpg,glioma,L,True
Training/meningioma/Tr-me_0657.jpg,meningioma,RGB,True
Training/pituitary/Tr-pi_0670.jpg,pituitary,RGB,True
Training/notumor/Tr-no_0086.jpg,notumor,RGB,True
Training/glioma/Tr-gl_0457.jpg,glioma,L,True
Training/notumor/Tr-no_0160.jpg,notumor,RGB,True
Training/meningioma/Tr-me_0191.jpg,meningioma,RGB,True
Testing/meningioma/Te-me_0095.jpg,meningioma,RGB,True
Training/meningioma/Tr-me_0328.jpg,meningioma,RGB,True
Training/pituitary/Tr-pi_0446.jpg,pituitary,RGB,True
Training/notumor/Tr-no_0383.jpg,notumor,RGB,True
Testing/notumor/Te-no_0058.jpg,notumor,RGB,True
Training/pituitary/Tr-pi_0181.jpg,pituitary,RGB,True
Training/notumor/Tr-no_0256.jpg,notumor,RGB,True
Training/notumor/Tr-no_0202.jpg,notumor,RGB,True
Training/glioma/Tr-gl_0079.jpg,glioma,RGB,True
Training/notumor/Tr-no_0882.jpg,notumor,RGB,True
Training/glioma/Tr-gl_0712.jpg,glioma,L,True
Training/pituitary/Tr-pi_0257.jpg,pituitary,RGB,True
Testing/glioma/Te-gl_0216.jpg,glioma,L,True
Training/pituitary/Tr-pi_0470.jpg,pituitary,RGB,True
Training/notumor/Tr-no_1047.jpg,notumor,RGB,True
Testing/meningioma/Te-me_0162.jpg,meningioma,L,True
Testing/notumor/Te-no_0063.jpg,notumor,RGB,True
Testing/glioma/Te-gl_0248.jpg,glioma,L,True
Testing/notumor/Te-no_0112.jpg,notumor,RGB,True
Testing/pituitary/Te-pi_0234.jpg,pituitary,L,True
Testing/notumor/Te-no_0296.jpg,notumor,RGB,True
Training/glioma/Tr-gl_1315.jpg,glioma,L,True
Testing/meningioma/Te-me_0098.jpg,meningioma,RGB,True
Training/meningioma/Tr-me_0511.jpg,meningioma,RGB,True
Testing/glioma/Te-gl_0103.jpg,glioma,L,True
Training/meningioma/Tr-me_0523.jpg,meningioma,RGB,True
Training/pituitary/Tr-pi_1097.jpg,pituitary,L,True
Training/meningioma/Tr-me_0434.jpg,meningioma,RGB,True
Training/pituitary/Tr-piTr_0009.jpg,pituitary,RGB,True
Testing/pituitary/Te-pi_0174.jpg,pituitary,L,True
Testing/meningioma/Te-me_0099.jpg,meningioma,RGB,True
Training/glioma/Tr-gl_0592.jpg,glioma,L,True
Training/pituitary/Tr-pi_0624.jpg,pituitary,RGB,True
Training/glioma/Tr-gl_0321.jpg,glioma,L,True
Training/notumor/Tr-no_1104.jpg,notumor,RGB,True
Testing/meningioma/Te-me_0265.jpg,meningioma,L,True
Training/glioma/Tr-gl_0230.jpg,glioma,L,True
Testing/glioma/Te-gl_0163.jpg,glioma,L,True
Training/glioma/Tr-gl_1149.jpg,glioma,L,True
Training/notumor/Tr-no_1468.jpg,notumor,RGB,True
Training/pituitary/Tr-pi_1399.jpg,pituitary,L,True
Training/meningioma/Tr-me_0091.jpg,meningioma,RGB,True
Training/meningioma/Tr-me_1007.jpg,meningioma,L,True
Training/glioma/Tr-gl_0538.jpg,glioma,L,True
Training/glioma/Tr-gl_1219.jpg,glioma,L,True
Training/meningioma/Tr-me_0777.jpg,meningioma,RGB,True
