source_split,filepath,label,file_size_bytes,width,height,mode,format,sha256,phash,valid_image,error
Testing,Testing/pituitary/Te-pi_0045.jpg,pituitary,34743,512,512,RGB,JPEG,02799f7863d49de182357e72179f3cc4e65e70099355f2d5aa2e39d356e492d9,c11e4ebb6c6d2174,True,
Training,Training/pituitary/Tr-pi_0668.jpg,pituitary,34743,512,512,RGB,JPEG,02799f7863d49de182357e72179f3cc4e65e70099355f2d5aa2e39d356e492d9,c11e4ebb6c6d2174,True,
Training,Training/notumor/Tr-no_0253.jpg,notumor,13578,314,258,RGB,JPEG,039d0eb6b8493db695929536aa7476f8c472381a7c20de981bfe7e0bdd875a82,cb3c2ce1308f33d9,True,
Testing,Testing/notumor/Te-noTr_0002.jpg,notumor,13578,314,258,RGB,JPEG,039d0eb6b8493db695929536aa7476f8c472381a7c20de981bfe7e0bdd875a82,cb3c2ce1308f33d9,True,
Training,Training/notumor/Tr-no_0329.jpg,notumor,15244,208,217,RGB,JPEG,053a6036a57e58922ce011f713ddb44f78af390306aa055803e24338eb977075,c33c2b343cf32c93,True,
Testing,Testing/notumor/Te-no_0025.jpg,notumor,15244,208,217,RGB,JPEG,053a6036a57e58922ce011f713ddb44f78af390306aa055803e24338eb977075,c33c2b343cf32c93,True,
Training,Training/notumor/Tr-no_0980.jpg,notumor,35982,354,443,RGB,JPEG,05ec18666c6b751b8845a93824ea25c9bb251606b71f76c0c3875d69e973f72d,c23b3fe22cc13497,True,
Training,Training/notumor/Tr-no_0192.jpg,notumor,35982,354,443,RGB,JPEG,05ec18666c6b751b8845a93824ea25c9bb251606b71f76c0c3875d69e973f72d,c23b3fe22cc13497,True,
Training,Training/notumor/Tr-no_0070.jpg,notumor,11432,227,213,RGB,JPEG,06e6f334b7e990bd685265cea5af2b11410235f4a3baad476c964249310330f3,c24d3ff06c64389b,True,
Testing,Testing/notumor/Te-no_0033.jpg,notumor,11432,227,213,RGB,JPEG,06e6f334b7e990bd685265cea5af2b11410235f4a3baad476c964249310330f3,c24d3ff06c64389b,True,
