source_split,filepath,label,file_size_bytes,width,height,mode,format,sha256,phash,valid_image,error
Training,Training/meningioma/Tr-me_0211.jpg,meningioma,26281,455,500,RGB,JPEG,24f09f91af40e42f2798bbc29df353ce17e6a0c0b533fb923b2fa8f75df6b496,c4736ead39cc3984,True,
Training,Training/meningioma/Tr-me_0238.jpg,meningioma,21706,512,512,RGB,JPEG,09b9031e30e757eb6e648686f0ca412357e86895ebbc52d300d2d0a9305fd417,97876a4c619b256d,True,
Training,Training/meningioma/Tr-me_0251.jpg,meningioma,25923,341,395,RGB,JPEG,e2c7bc9c2d735e5b584b329f5cda1aec1f2415b2972c4aa8efc8d0a61e61b280,c50c115b4e3f7ce2,True,
Training,Training/meningioma/Tr-me_0281.jpg,meningioma,8707,213,237,RGB,JPEG,4951f7ba2e002020c835b3f50136c3249f3ae004624b35a262e65dd431d70e56,c0e2193dc7e25d39,True,
Training,Training/meningioma/Tr-me_0366.jpg,meningioma,26281,455,500,RGB,JPEG,24f09f91af40e42f2798bbc29df353ce17e6a0c0b533fb923b2fa8f75df6b496,c4736ead39cc3984,True,
Training,Training/meningioma/Tr-me_0617.jpg,meningioma,28082,512,512,RGB,JPEG,451f339dbf4d33864e0dd8940f533bbeddda6492cf60bb15615342bd467cc721,94957a1a3f687839,True,
Training,Training/notumor/Tr-no_0012.jpg,notumor,55697,630,630,RGB,JPEG,c1bf41ddb56396fd0e74b2eb7212c96a6a915ee86737c060c9db8e1439ff0390,c74f3fb078926129,True,
Training,Training/notumor/Tr-no_0014.jpg,notumor,58801,630,630,RGB,JPEG,dc811fda9f7bc3506f21d4094da84c5e3a81d3878b28967b830536fda342a33e,907a6fc56d92344d,True,
Training,Training/notumor/Tr-no_0024.jpg,notumor,55697,630,630,RGB,JPEG,c1bf41ddb56396fd0e74b2eb7212c96a6a915ee86737c060c9db8e1439ff0390,c74f3fb078926129,True,
Training,Training/notumor/Tr-no_0029.jpg,notumor,34394,630,630,RGB,JPEG,5a66211168e2f92209f3aee80fe618a1555144bada16fdc2035d1780321c02cf,96386a716dc534e3,True,
Training,Training/notumor/Tr-no_0077.jpg,notumor,14151,210,213,RGB,JPEG,6f3bdbdba45d1f985b33e51c93c318e0f04f2c3186dfae874050a99a11b1af02,959f7e702be06123,True,
