source_split,filepath,label,file_size_bytes,width,height,mode,format,sha256,phash,valid_image,error
Training,Training/glioma/Tr-glTr_0000.jpg,glioma,23127,512,512,RGB,JPEG,18a7abdb3b9aaa94fa5b869c3c5f607e374209812c759b255fe3c0c8d2ba6981,966978b570c66396,True,
Training,Training/glioma/Tr-glTr_0001.jpg,glioma,23937,512,512,RGB,JPEG,b3ec494e72077c55ef5eabb26d4a052768239a68e36d79392b744456aa415093,87787a2565866e96,True,
Training,Training/glioma/Tr-glTr_0002.jpg,glioma,24453,512,512,RGB,JPEG,928b812bba938a8ca461e85fd231accd917e195b6f482114e3f57103285847c2,c73c3b2924e73893,True,
Training,Training/glioma/Tr-glTr_0003.jpg,glioma,22244,512,512,RGB,JPEG,444bae1e124b294c0d77c7bcf7270d61c8cdc0ea61e97d3a58fba3ac7c21d15a,96613a3f39e63834,True,
Training,Training/glioma/Tr-glTr_0004.jpg,glioma,25309,512,512,RGB,JPEG,2d4bfd63e364c817381a73f6354572213a1a1b1665c85e10ce977ee92bc6a17e,c2c93f0b6d3e6438,True,
Training,Training/glioma/Tr-glTr_0005.jpg,glioma,24647,512,512,RGB,JPEG,a2d02c26384bc3481f47aeff777a9003bf7a7cc242a30d326cf4a5717f6e597c,c2c83b9d6c793178,True,
Training,Training/glioma/Tr-glTr_0006.jpg,glioma,21494,512,512,RGB,JPEG,cc72bdbe5b14b0ec86d1b240a5c02a2ad437c4ef27f9463448c101caa845352f,946b3e2b399c682d,True,
Training,Training/glioma/Tr-glTr_0007.jpg,glioma,26619,512,512,RGB,JPEG,dcb05cd082c7b8932218766ef3bfb67e94e26f801a20647f5dc838b59a67ac4c,96c92f0f3cc9383c,True,
Training,Training/glioma/Tr-glTr_0008.jpg,glioma,24275,512,512,RGB,JPEG,c4816b8570228e8f92e41f8fafe01b750e6c1a7c0c2face8b7493a14f99c6470,864a2f2d38e6783d,True,
Training,Training/glioma/Tr-glTr_0009.jpg,glioma,23025,512,512,RGB,JPEG,043a2e8857ac164f6228500db9060a24c3b5ac99ffddcbc15c7342b09f35fbc9,87687b6579cc7031,True,
Training,Training/glioma/Tr-gl_0010.jpg,glioma,23730,512,512,RGB,JPEG,81e9fe962fd5d9d395e58136c220c68e3a184559ac4e72227e23a5c9ec80dc48,d2693f1e39693035,True,
Training,Training/glioma/Tr-gl_0011.jpg,glioma,25931,512,512,RGB,JPEG,6afa32ba6a1ef582cc869d8cae9a582ec8ccdde307ce923a7bee83f705a9d235,c43a3b356d707265,True,
Training,Training/glioma/Tr-gl_0012.jpg,glioma,24549,512,512,RGB,JPEG,5c6227da4a215de8e9e292d38bef18ea26feef4ee9d168aa9221c7d5c69563ae,c43a3f386df47061,True,
Training,Training/glioma/Tr-gl_0013.jpg,glioma,26040,512,512,RGB,JPEG,5e4bf9549dd0b305f5475030d80d4263f383cb1f852f8a2d4f9352e35bb9a9ce,c51a6ee53cf43033,True,
Training,Training/glioma/Tr-gl_0014.jpg,glioma,28164,512,512,RGB,JPEG,3830fa89186bf90b1034b657898b56e4ee2416eaf9bf7c6c79084efde5ae4147,86692e3969a53c79,True,
Training,Training/glioma/Tr-gl_0015.jpg,glioma,26320,512,512,RGB,JPEG,56405c10517d5ff97ded43ff3d2b07e0b5a7a62cb7bc4c8b148e4dd9e662c2cd,c1342b6e7cb06d2e,True,
Training,Training/glioma/Tr-gl_0016.jpg,glioma,25299,512,512,RGB,JPEG,1b1df8c2b4e4eced7e40cf9d04dde675e894072b17d49ecb1f59b773a91276e3,96693e3960b671c6,True,
Training,Training/glioma/Tr-gl_0017.jpg,glioma,25114,512,512,RGB,JPEG,849d55bbe3f1dc7dd1b0c65a051152b493dee5784225c0ddf164dda00ede02dc,c6496e783de07925,True,
Training,Training/glioma/Tr-gl_0018.jpg,glioma,23735,512,512,RGB,JPEG,3833c403ef39aa58acf74ad5ec5425a2bf2a2b6e6ee0823b8913d68a21e316bf,c31e7a482df16d61,True,
Training,Training/glioma/Tr-gl_0019.jpg,glioma,28998,512,512,RGB,JPEG,50f5fb7d7114a9405ec48fd0efc10362d3a6807555446d69aaeb60b5909a0666,851f3a583ef06969,True,
Training,Training/glioma/Tr-gl_0020.jpg,glioma,29988,512,512,RGB,JPEG,d4d7eb03b8a953c7219ad3702151fd072d64957f5c4590550448e36c935784c8,c21b6f2d3cb17864,True,
Training,Training/glioma/Tr-gl_0021.jpg,glioma,23198,512,512,RGB,JPEG,e720621b4ff394cba6c0930b5d3b0eed704a2c0e125d0f62710af388f69b40ae,c33e6f743c913464,True,
Training,Training/glioma/Tr-gl_0022.jpg,glioma,28264,512,512,RGB,JPEG,6466c2a0f15916e089926fbeb1dc1e09bcd990bd5f0651c819d3039c6a0636b3,95693e4768786965,True,
Training,Training/glioma/Tr-gl_0023.jpg,glioma,24470,512,512,RGB,JPEG,6a3769a0d08cce970c56d5a03f747f7fd70bbcc73e660a2adfd7a10bcde805a8,96c93c5e29183d79,True,
