source_split,filepath,label,file_size_bytes,width,height,mode,format,sha256,phash,valid_image,error
Training,Training/meningioma/Tr-me_0225.jpg,meningioma,19823,369,395,RGB,JPEG,c22c1029b1f5d3b96679b64527073e0b5f575d492094578a9eff022649af84ec,801f5ffa29687d21,True,
Testing,Testing/meningioma/Te-me_0046.jpg,meningioma,27715,369,395,RGB,JPEG,f9c7519fa1b025afb6c7dcb3e7ac3807ab36ffaa535b8dbf72ed6b418303f486,801f5ffa29687d21,True,
Training,Training/meningioma/Tr-me_0198.jpg,meningioma,9268,200,223,RGB,JPEG,96c69ebadfc6c5a736937c6bdf11983ebf111d0cd9f738b1c1aafa96dc61f551,80375f693ab07c65,True,
Testing,Testing/meningioma/Te-me_0011.jpg,meningioma,12380,200,223,RGB,JPEG,0b2a2b578be6b8a5a897047a580f4c331a4ce7999585866bb41e22e46c536cd2,80375f693ab07c65,True,
Training,Training/notumor/Tr-no_1060.jpg,notumor,37052,339,415,RGB,JPEG,14963471b7c2744df51c1da54f4e519cecc34aa12944f1968620da1d36d2c5c2,804a4ba93fb57c96,True,
Training,Training/notumor/Tr-no_0216.jpg,notumor,37052,339,415,RGB,JPEG,14963471b7c2744df51c1da54f4e519cecc34aa12944f1968620da1d36d2c5c2,804a4ba93fb57c96,True,
Training,Training/notumor/Tr-no_1050.jpg,notumor,37547,331,406,RGB,JPEG,7d5fb3078f6ed56884ebf8c14928f4e8e05ffd2065cf1b5f4b23cd6dfa3f49ef,80544fab6f813ab7,True,
Training,Training/notumor/Tr-no_0215.jpg,notumor,37547,331,406,RGB,JPEG,7d5fb3078f6ed56884ebf8c14928f4e8e05ffd2065cf1b5f4b23cd6dfa3f49ef,80544fab6f813ab7,True,
Training,Training/notumor/Tr-no_0567.jpg,notumor,8955,201,250,RGB,JPEG,c6f75a9e39f9f81945a1077e20d530972f8c2915d0fd2af7e1d4e2923f6c75ee,805b1ff87a9168cd,True,
Training,Training/notumor/Tr-no_0910.jpg,notumor,8460,201,250,RGB,JPEG,6fb3bb7facb4a1ce49bd7fe43e2e9e426bdddb9cdcaa48b3462d80367dc60511,805b1ff87a9168cd,True,
Training,Training/notumor/Tr-no_0223.jpg,notumor,12710,201,250,RGB,JPEG,e9a63334af63a2ec8cab2149ec091466c60df5fe115cf36cc30c9304dacbb376,805b1ff87a9168cd,True,
Training,Training/notumor/Tr-no_1101.jpg,notumor,12710,201,250,RGB,JPEG,e9a63334af63a2ec8cab2149ec091466c60df5fe115cf36cc30c9304dacbb376,805b1ff87a9168cd,True,
Training,Training/notumor/Tr-no_0140.jpg,notumor,12710,201,250,RGB,JPEG,e9a63334af63a2ec8cab2149ec091466c60df5fe115cf36cc30c9304dacbb376,805b1ff87a9168cd,True,
Training,Training/notumor/Tr-no_1136.jpg,notumor,8453,201,250,RGB,JPEG,26cc2ac2fd2aa849ffdddc57eacb585a8fdbfe9824404a7d8860f46289571e80,805b1ff87a9168cd,True,
Training,Training/notumor/Tr-no_0983.jpg,notumor,6399,201,250,RGB,JPEG,cca6c02571d544a64a480fb01cb9d45a2b5d0211e201f929844745afa10d658a,805b1ff87a9168cd,True,
Training,Training/notumor/Tr-no_0605.jpg,notumor,10708,214,236,RGB,JPEG,f7f5a375b5aeaea2aa0d8acfa4d171684f5fa49e810006317b271ebafc7b0824,80625f4b3a27799d,True,
Testing,Testing/notumor/Te-no_0353.jpg,notumor,10844,214,236,RGB,JPEG,19a55bf4da0433f3ea4f6288d30b374dbbd7eca0afc7f6e5bbcde61bc06f905d,80625f4b3a27799d,True,
Training,Training/notumor/Tr-no_1182.jpg,notumor,20420,236,309,RGB,JPEG,dfbba0fc3e25b2cc10d6fde8faf975c6f475baa770ede5ea3fd1e495995736ef,80661fab7a85689f,True,
Testing,Testing/notumor/Te-no_0051.jpg,notumor,20420,236,309,RGB,JPEG,dfbba0fc3e25b2cc10d6fde8faf975c6f475baa770ede5ea3fd1e495995736ef,80661fab7a85689f,True,
Training,Training/notumor/Tr-no_0246.jpg,notumor,20420,236,309,RGB,JPEG,dfbba0fc3e25b2cc10d6fde8faf975c6f475baa770ede5ea3fd1e495995736ef,80661fab7a85689f,True,
Training,Training/notumor/Tr-no_0640.jpg,notumor,12875,214,236,RGB,JPEG,8754d6582bc14adc7e7121a1c48e3c7768bb815646e0a77a9767a2b0cb373f29,806a5f6338b1799d,True,
Training,Training/notumor/Tr-no_1339.jpg,notumor,13105,214,236,RGB,JPEG,7db498b0c0da45b720bf64225ab78d2bb03023c9fad87303f07758d7b549471a,806a5f6338b1799d,True,
Training,Training/pituitary/Tr-pi_0343.jpg,pituitary,35906,512,512,RGB,JPEG,8afa71fed3d0307237b24872056b750f3c06ee0d9527c35241b908eb7404080f,80885ffc1b555ada,True,
Training,Training/pituitary/Tr-pi_0342.jpg,pituitary,35906,512,512,RGB,JPEG,8afa71fed3d0307237b24872056b750f3c06ee0d9527c35241b908eb7404080f,80885ffc1b555ada,True,
Training,Training/notumor/Tr-no_0437.jpg,notumor,10736,214,236,RGB,JPEG,21b8b91e5ebe1f8ae79eb437f6ec83e8bfffbf71d50a7799aeacfa39d9327c18,809d5fb03adc7962,True,
Training,Training/notumor/Tr-no_1423.jpg,notumor,10853,214,236,RGB,JPEG,bbb969da9e00cad757ce4cfed82cc780afa9a95f02720d0a9dcbaf64423f166b,809d5fb03adc7962,True,
Testing,Testing/notumor/Te-no_0230.jpg,notumor,9077,201,250,RGB,JPEG,aafa93e0d2c7ff5ba569ba4fb2827a0d2f8de9e504b6a0c665f21b32f9c9acde,80a41f477a6e683f,True,
Testing,Testing/notumor/Te-no_0357.jpg,notumor,8803,201,250,RGB,JPEG,9c8566b89cef0c2467648a9415dbea5b8d6022bbea515d5bbfb6935eb37fdded,80a41f477a6e683f,True,
Training,Training/notumor/Tr-no_0318.jpg,notumor,46209,411,496,RGB,JPEG,90b09a698e88ffae221f5f5c0c732e7a17e93387b4e91fc0be28b3aa3b91ba33,811956fe6c786b85,True,
Training,Training/notumor/Tr-no_1170.jpg,notumor,46209,411,496,RGB,JPEG,90b09a698e88ffae221f5f5c0c732e7a17e93387b4e91fc0be28b3aa3b91ba33,811956fe6c786b85,True,
Testing,Testing/meningioma/Te-me_0079.jpg,meningioma,13951,208,243,RGB,JPEG,8e3337290795e87f60d3aae62e5dc24891c709967907fb85545364a8682a368b,811e1fe87aa53ac5,True,
Training,Training/meningioma/Tr-me_0257.jpg,meningioma,10078,208,243,RGB,JPEG,4c3af3bbaa0e4fef239bd973509aeda877af2ba720a3d469a1d5438a9e55a910,811e1fe87aa53ac5,True,
